,time,X_F,Y_F,N_F,psi
93,93,2.04339099658472,-0.004746459334864964,0.21928201706854789,6.2354971911780535
94,94,1.6123679067476913,0.02423789263983668,0.12961006955090265,6.309212344187261
95,95,1.7811976050895322,0.16863712729509497,0.01796416524888382,6.382657300285032
96,96,2.1930053937109935,0.26984407109510805,-0.014797202124983956,6.4557557876704275
97,97,2.359123934530328,0.21348945405333447,-0.016117756707843336,6.52856797829278
98,98,2.0047124356256645,0.028018914680153273,0.11333709849822676,6.601282131171123
99,99,1.619856049875846,-0.04255884518777975,0.09801257224059014,6.673894262692791
100,100,1.808652261069653,0.15496227283597086,-0.019260639674196636,6.746084027334309
101,101,2.1961714142637296,0.34351764933447504,-0.07450308942763934,6.8176925924989416
102,102,2.326283263187599,0.3168016693637563,-0.10784779306961549,6.8887286175644284
103,103,2.0040398893589186,0.07211808186850144,0.009809219251834476,6.959360956592081
104,104,1.693827890773,-0.050496813841388266,0.02518737848734119,7.029639894088608
105,105,1.8445628557946026,0.15622326356159477,-0.05655702270383476,7.099321360705562
106,106,2.144474787613133,0.36191914920120194,-0.11017383528591022,7.168252474595709
107,107,2.2283777650275836,0.3506875139657293,-0.14892731514351,7.23641008146561
108,108,1.991252039252909,0.11898897995784863,-0.08895676542058177,7.303881758543612
109,109,1.7951410357062565,0.0007937964986413082,-0.0883585580983531,7.370686688964741
110,110,1.9131881477450425,0.16693023146080055,-0.10011578282385855,7.4367315113992705
111,111,2.1120341563688108,0.33915552989914743,-0.09697436186912405,7.502002723901813
112,112,2.1169900034516886,0.35049443912117906,-0.11963289692245914,7.56648293139189
113,113,1.914865344862003,0.152468835151082,-0.136484115648199,7.63013072002192
114,114,1.854635748890225,0.033112840356627815,-0.20661216825364423,7.692840918040041
115,115,2.0511039033279768,0.1369901136402011,-0.17894923959100645,7.754615695805041
116,116,2.2039001130489013,0.24872461379925836,-0.141019618401225,7.815573984099604
117,117,2.089013734853404,0.29050318063080055,-0.10527184075478409,7.875778565105736
118,118,1.7489071006970371,0.22811603865821695,-0.10612266298531421,7.935239891500943
119,119,1.5553896671087288,0.11543934593734517,-0.14569978533109834,7.993909108824625
120,120,1.8357341722999236,0.06810011556162754,-0.1500899116153064,8.051782818630597
121,121,2.224671109654591,0.07033080188027496,-0.18534119061952412,8.108833624185975
122,122,2.1660842039985337,0.07398403524281294,-0.2748633792931905,8.164915776381239
123,123,1.7109056208020788,0.19428450946959158,-0.2679224341133385,8.220054303401286
124,124,1.4616358744057454,0.3219253363724796,-0.13256069594283196,8.274600112028855
125,125,1.8144683766349783,0.19076637282434838,-0.09452522421351807,8.328764502513472
126,126,2.232600347396004,0.0007232739274861677,-0.2531958045555985,8.382262668268888
127,127,2.138309195371943,-0.03305657882237156,-0.29919230136670194,8.43488245955174
128,128,1.5924639880780695,0.17235609814362096,-0.27919239707196997,8.486768925326384
129,129,1.3443741259213033,0.31249268025302235,-0.12797873367734625,8.538300457311612
