,time,X_F_target,Y_F_target,N_F_target,psi
79,79,0.5734152255572647,0.0,0.00561604510036344,5.218849694972667
80,80,1.9999999999999942,0.0,0.018771230331340132,5.289575202786674
81,81,3.426584774442732,0.0,0.030590595529490915,5.360721281875674
82,82,2.8816778784387145,0.0,0.024265310162688392,5.432344976236039
83,83,1.118322121561304,0.0,0.008797493915462036,5.504445359550018
84,84,0.5734152255572678,0.0,0.004169080642791991,5.576703150487011
85,85,2.0000000000000044,0.0,0.01327045920602034,5.649111988888889
86,86,3.4265847744427287,0.0,0.020431446325889377,5.7217787369143345
87,87,2.8816778784387234,0.0,0.015143631591173422,5.794790162138002
88,88,1.1183221215612955,0.0,0.005049900515451805,5.86819727100286
89,89,0.5734152255572709,0.0,0.0021509894512612994,5.9416568340344265
90,90,1.9999999999999933,0.0,0.005934883975922252,6.015033054273143
